year,sample,serial,cbserial,numprec,subsamp,hhwt,hhtype,cluster,adjust,cpi99,strata,gq,lingisol,vacancy,vacdur,vacoth,kitchen,sink,stove,rooms,plumbing,hotwater,shower,builtyr2,unitsstr,bedrooms,coupletype,ssmc,nfams,nsubfam,ncouples,nmothers,nfathers,cbnsubfam,respmode
2022,2022 ACS,14,2022010000793,1,98,13,N/A,2022000000141,1.042311,.569,90001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,15,2022010000812,1,20,40,N/A,2022000000151,1.042311,.569,190101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,16,2022010000814,1,18,40,N/A,2022000000161,1.042311,.569,190101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,17,2022010000822,1,82,139,N/A,2022000000171,1.042311,.569,280301,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,18,2022010000826,1,85,64,N/A,2022000000181,1.042311,.569,40301,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,19,2022010001049,1,73,56,N/A,2022000000191,1.042311,.569,120201,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,20,2022010001164,1,32,7,N/A,2022000000201,1.042311,.569,200001,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,21,2022010001170,1,83,10,N/A,2022000000211,1.042311,.569,10001,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,22,2022010001200,1,51,116,N/A,2022000000221,1.042311,.569,140301,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,23,2022010001217,1,24,38,N/A,2022000000231,1.042311,.569,50101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,24,2022010001219,1,23,47,N/A,2022000000241,1.042311,.569,30001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,25,2022010001289,1,7,42,N/A,2022000000251,1.042311,.569,20001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,26,2022010001375,1,14,7,N/A,2022000000261,1.042311,.569,70001,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,27,2022010001383,1,3,6,N/A,2022000000271,1.042311,.569,120101,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,28,2022010001408,1,10,69,N/A,2022000000281,1.042311,.569,210101,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,29,2022010001418,1,53,34,N/A,2022000000291,1.042311,.569,150201,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,30,2022010001425,1,72,34,N/A,2022000000301,1.042311,.569,140101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,31,2022010001500,1,36,47,N/A,2022000000311,1.042311,.569,200001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,32,2022010001563,1,99,52,N/A,2022000000321,1.042311,.569,140401,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,33,2022010001667,1,15,22,N/A,2022000000331,1.042311,.569,120201,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,34,2022010001760,1,22,11,N/A,2022000000341,1.042311,.569,190101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,35,2022010001806,1,17,112,N/A,2022000000351,1.042311,.569,200001,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,36,2022010002024,1,35,85,N/A,2022000000361,1.042311,.569,210101,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,37,2022010002148,1,95,18,N/A,2022000000371,1.042311,.569,130101,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,38,2022010002164,1,33,35,N/A,2022000000381,1.042311,.569,180101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,39,2022010002282,1,38,32,N/A,2022000000391,1.042311,.569,110001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,40,2022010002368,1,25,39,N/A,2022000000401,1.042311,.569,250001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,41,2022010002420,1,42,24,N/A,2022000000411,1.042311,.569,20001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,42,2022010002439,1,80,54,N/A,2022000000421,1.042311,.569,210101,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,43,2022010002542,1,39,53,N/A,2022000000431,1.042311,.569,110001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,44,2022010002577,1,43,38,N/A,2022000000441,1.042311,.569,120201,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,45,2022010002601,1,79,10,N/A,2022000000451,1.042311,.569,260001,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,46,2022010002632,1,54,15,N/A,2022000000461,1.042311,.569,140401,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,47,2022010002664,1,41,38,N/A,2022000000471,1.042311,.569,200001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,48,2022010002685,1,34,36,N/A,2022000000481,1.042311,.569,90001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,49,2022010002737,1,93,93,N/A,2022000000491,1.042311,.569,150201,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,50,2022010002798,1,44,48,N/A,2022000000501,1.042311,.569,190101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,51,2022010002818,1,84,37,N/A,2022000000511,1.042311,.569,180101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,52,2022010002868,1,70,61,N/A,2022000000521,1.042311,.569,210101,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,53,2022010002881,1,52,70,N/A,2022000000531,1.042311,.569,40201,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,54,2022010003097,1,65,8,N/A,2022000000541,1.042311,.569,280201,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,55,2022010003147,1,89,56,N/A,2022000000551,1.042311,.569,200001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
